"customerID","tenure","cancel","InternetService"
"7590-VHVEG",1,1,"DSL"
"5575-GNVDE",34,1,"DSL"
"3668-QPYBK",2,0,"DSL"
"7795-CFOCW",45,1,"DSL"
"9237-HQITU",2,0,"Fiber optic"
"9305-CDSKC",8,0,"Fiber optic"
"1452-KIOVK",22,1,"Fiber optic"
"6713-OKOMC",10,1,"DSL"
"7892-POOKP",28,0,"Fiber optic"
"6388-TABGU",62,1,"DSL"
"9763-GRSKD",13,1,"DSL"
"7469-LKBCI",16,1,"No"
"8091-TTVAX",58,1,"Fiber optic"
"0280-XJGEX",49,0,"Fiber optic"
"5129-JLPIS",25,1,"Fiber optic"
"3655-SNQYZ",69,1,"Fiber optic"
"8191-XWSZG",52,1,"No"
"9959-WOFKT",71,1,"Fiber optic"
"4190-MFLUW",10,0,"DSL"
"4183-MYFRB",21,1,"Fiber optic"
"8779-QRDMV",1,0,"DSL"
"1680-VDCWW",12,1,"No"
"1066-JKSGK",1,0,"No"
"3638-WEABW",58,1,"DSL"
"6322-HRPFA",49,1,"DSL"
"6865-JZNKO",30,1,"DSL"
"6467-CHFZW",47,0,"Fiber optic"
"8665-UTDHZ",1,0,"DSL"
"5248-YGIJN",72,1,"DSL"
"8773-HHUOZ",17,0,"DSL"
"3841-NFECX",71,1,"Fiber optic"
"4929-XIHVW",2,1,"Fiber optic"
"6827-IEAUQ",27,1,"DSL"
"7310-EGVHZ",1,1,"No"
"3413-BMNZE",1,1,"DSL"
"6234-RAAPL",72,1,"Fiber optic"
"6047-YHPVI",5,0,"Fiber optic"
"6572-ADKRS",46,1,"Fiber optic"
"5380-WJKOV",34,0,"Fiber optic"
"8168-UQWWF",11,0,"Fiber optic"
"8865-TNMNX",10,1,"DSL"
"9489-DEDVP",70,1,"DSL"
"9867-JCZSP",17,1,"No"
"4671-VJLCL",63,1,"DSL"
"4080-IIARD",13,1,"DSL"
"3714-NTNFO",49,1,"Fiber optic"
"5948-UJZLF",2,1,"DSL"
"7760-OYPDY",2,0,"Fiber optic"
"7639-LIAYI",52,1,"DSL"
"2954-PIBKO",69,1,"DSL"
"8012-SOUDQ",43,1,"Fiber optic"
"9420-LOJKX",15,0,"Fiber optic"
"6575-SUVOI",25,1,"DSL"
"7495-OOKFY",8,0,"Fiber optic"
"4667-QONEA",60,1,"DSL"
"1658-BYGOY",18,0,"Fiber optic"
"8769-KKTPH",63,1,"Fiber optic"
"5067-XJQFU",66,1,"Fiber optic"
"3957-SQXML",34,1,"No"
"5954-BDFSG",72,1,"Fiber optic"
"0434-CSFON",47,1,"Fiber optic"
"1215-FIGMP",60,1,"Fiber optic"
"0526-SXDJP",72,1,"DSL"
"0557-ASKVU",18,1,"DSL"
"5698-BQJOH",9,0,"Fiber optic"
"5122-CYFXA",3,1,"DSL"
"8627-ZYGSZ",47,1,"Fiber optic"
"3410-YOQBQ",31,1,"DSL"
"3170-NMYVV",50,1,"No"
"7410-OIEDU",10,1,"Fiber optic"
"2273-QCKXA",1,1,"DSL"
"0731-EBJQB",52,1,"No"
"1891-QRQSA",64,1,"Fiber optic"
"8028-PNXHQ",62,1,"No"
"5630-AHZIL",3,1,"DSL"
"2673-CXQEU",56,1,"Fiber optic"
"6416-JNVRK",46,1,"DSL"
"5590-ZSKRV",8,1,"DSL"
"0191-ZHSKZ",30,1,"DSL"
"3887-PBQAO",45,1,"No"
"5919-TMRGD",1,0,"Fiber optic"
"8108-UXRQN",11,1,"DSL"
"9191-MYQKX",7,0,"Fiber optic"
"9919-YLNNG",42,1,"Fiber optic"
"0318-ZOPWS",49,1,"No"
"4445-ZJNMU",9,1,"Fiber optic"
"4808-YNLEU",35,1,"DSL"
"1862-QRWPE",48,1,"No"
"2796-NNUFI",46,1,"No"
"3016-KSVCP",29,1,"DSL"
"4767-HZZHQ",30,1,"Fiber optic"
"2424-WVHPL",1,1,"Fiber optic"
"7233-PAHHL",66,1,"DSL"
"6067-NGCEU",65,1,"Fiber optic"
"9848-JQJTX",72,1,"Fiber optic"
"8637-XJIVR",12,0,"Fiber optic"
"9803-FTJCG",71,1,"DSL"
"0278-YXOOG",5,0,"No"
"3212-KXOCR",52,1,"No"
"4598-XLKNJ",25,0,"Fiber optic"
"6380-ARCEH",1,1,"No"
"3679-XASPY",1,1,"No"
"7123-WQUHX",38,1,"Fiber optic"
"5386-THSLQ",66,1,"DSL"
"3192-NQECA",68,0,"Fiber optic"
"6180-YBIQI",5,1,"DSL"
"6728-DKUCO",72,1,"Fiber optic"
"9750-BOOHV",32,1,"DSL"
"8597-CWYHH",43,1,"Fiber optic"
"2848-YXSMW",72,1,"No"
"0486-HECZI",55,0,"Fiber optic"
"4549-ZDQYY",52,1,"DSL"
"5712-AHQNN",43,1,"Fiber optic"
"4846-WHAFZ",37,0,"Fiber optic"
"5256-SKJGO",64,1,"DSL"
"3071-VBYPO",3,1,"Fiber optic"
"9560-BBZXK",36,1,"DSL"
"5299-RULOA",10,0,"Fiber optic"
"8402-OOOHJ",41,1,"No"
"9445-ZUEQE",27,1,"Fiber optic"
"1091-SOZGA",56,1,"Fiber optic"
"2928-HLDBA",6,1,"No"
"0404-SWRVG",3,0,"Fiber optic"
"6497-TILVL",7,1,"DSL"
"7219-TLZHO",4,1,"No"
"4622-YNKIJ",33,1,"Fiber optic"
"4412-YLTKF",27,0,"Fiber optic"
"6734-PSBAW",72,1,"No"
"3930-ZGWVE",1,1,"No"
"2639-UGMAZ",71,1,"DSL"
"2876-GZYZC",13,1,"Fiber optic"
"6207-WIOLX",25,0,"DSL"
"8587-XYZSF",67,1,"DSL"
"3091-FYHKI",1,0,"DSL"
"2372-HWUHI",2,0,"DSL"
"7799-LGRDP",43,1,"No"
"7850-VWJUU",23,1,"Fiber optic"
"3774-VBNXY",64,1,"No"
"6217-KDYWC",57,1,"No"
"0390-DCFDQ",1,0,"Fiber optic"
"3146-MSEGF",72,1,"DSL"
"4080-OGPJL",8,0,"DSL"
"1095-WGNGG",61,1,"Fiber optic"
"2636-SJDOU",64,1,"Fiber optic"
"1131-QQZEB",71,1,"No"
"5716-EZXZN",65,1,"Fiber optic"
"6837-BJYDQ",3,1,"No"
"2135-RXIHG",1,0,"DSL"
"6440-DKQGE",30,1,"DSL"
"3466-BYAVD",15,1,"DSL"
"3780-YVMFA",8,1,"DSL"
"3874-EQOEP",7,0,"Fiber optic"
"1679-JRFBR",70,1,"Fiber optic"
"9073-ZZIAY",62,1,"DSL"
"3077-RSNTJ",6,1,"No"
"6551-GNYDG",14,1,"Fiber optic"
"9167-APMXZ",22,1,"Fiber optic"
"2749-CTKAJ",22,1,"No"
"6371-NZYEG",16,1,"DSL"
"7554-NEWDD",10,1,"No"
"8992-VONJD",13,1,"DSL"
"0867-MKZVY",20,0,"Fiber optic"
"4482-EWFMI",2,1,"Fiber optic"
"4648-YPBTM",53,1,"DSL"
"2907-ILJBN",11,1,"No"
"6345-FZOQH",69,1,"No"
